,0
68,http://www.news.com.au/national/crime/the-11-imminent-terror-attacks-australia-narrowly-escaped/news-story/86fc734df0963e21fe038c0eecce7d80
69,https://www.brennancenter.org/analysis/counter-radicalization-lessons-united-kingdom
70,http://www.cnn.com/2014/12/15/world/asia/australia-sydney-hostage-situation/
71,http://csis.org/publication/homegrown-terrorism
72,http://www.news.com.au/national/the-1m-method-to-deradicalise-australias-youth-and-prevent-a-terrorist-attack/news-story/f9a10921a4af265cb660d7bbd14eb884
73,http://wiat.com/2015/12/09/anti-muslim-kkk-fliers-pop-up-in-alabama/
74,http://www.globalcenter.org/wp-content/uploads/2015/09/Does-CVE-Work_2015.pdf
75,https://www.dhs.gov/blog/2016/10/19/updating-our-plan-counter-violent-extremism-home
76,http://dailysignal.com//2013/03/11/ten-stories-of-job-loss-as-consequences-of-obamacare/#
77,https://www.nytimes.com/2018/04/18/us/kansas-militia-somali-trial-verdict.html
78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity
79,https://www.splcenter.org/20150212/lone-wolf-report
80,http://doi.org/10.1080/13602000701536117
81,http://www.start.umd.edu/publication/program-fact-sheet-starts-cve-education-and-training-initiatives
82,http://www.start.umd.edu/research-projects/terrorism-and-extremist-violence-united-states-tevus-database
83,https://www.politico.com/story/2017/02/trump-national-security-gorka-234950
84,http://www.e-ir.info/2015/06/04/australian-british-and-us-approaches-to-countering-islamic-extremists/
85,http://www.usccr.gov/pubs/ARAB_MUSLIM_9-30-14.pdf
86,http://www.justice.gov/opa/pr/attorney-general-holder-announces-pilot-program-counter-violent-extremists
87,http://www.justice.gov/usao-mn/building-community-resilience
88,https://www.justice.gov/crs
89,http://www.justice.gov/sites/default/files/jmd/legacy/2014/02/28/doj-fy-2014-2018-strategic-plan.pdf
90,https://www.justice.gov/sites/default/files/usao-ma/pages/attachments/2015/02/18/framework.pdf
91,http://www.justice.gov/sites/default/files/jmd/pages/attachments/2015/02/02/7._state_and_local_fact_sheet.pdf
92,https://www.dhs.gov/community-engagement
93,http://www.dhs.gov/topic/countering-violent-extremism
94,https://www.dhs.gov/cve/task-force
95,http://www.dhs.gov/news/2016/01/08/countering-violent-extremism-task-force
96,https://www.dhs.gov/hometown-security
97,https://www.dhs.gov/cvegrants
98,https://www.dhs.gov/sites/default/files/publications/16_1028_S1_CVE_strategy.pdf
99,https://www.dhs.gov/sites/default/files/publications/Los%20Angeles%20Framework%20for%20CVE-Full%20Report.pdf
100,https://www.dhs.gov/news/2017/01/13/statement-secretary-jeh-johnson-announcing-first-round-dhss-countering-violent
101,http://www.dhs.gov/news/2015/09/28/statement-secretary-jeh-c-johnson-dhs%E2%80%99s-new-office-community-partnerships
102,http://www.dhs.gov/countering-violent-extremism-understanding-violent-extremism
103,https://www.dhs.gov/sites/default/files/publications/crcl-annual-2016.pdf
104,https://www.state.gov/documents/organization/236838.pdf
105,http://cvesummit.org/wp-content/uploads/2014/06/CVE-Summit-One-Pager.pdf
106,https://www.gao.gov/products/GAO-17-300
107,http://www.gao.gov/assets/650/649616.pdf
108,https://www.cnn.com/2018/10/23/politics/donald-trump-proof-unknown-middle-easterners-migrant-caravan/index.html
109,https://cchs.gwu.edu/sites/cchs.gwu.edu/files/downloads/CVE%20in%20America%20.pdf
110,http://chicagomonitor.com/2013/10/law-enforcement-strategies-in-muslim-communities-need-reform/
111,http://watson.brown.edu/costsofwar/costs/social/rights/profiling
112,https://www.start.umd.edu/pubs/START_CVEtoPromotingCommunitySafety_ResearchBrief_June2015.pdf
113,http://www.start.umd.edu/pubs/STARTResearchBrief_UnderstandingCommunitiesAttitudesTowardCVE_Feb2015.pdf
114,http://thehill.com/policy/national-security/352670-fbi-has-1000-open-domestic-terror-investigations-director
115,https://www.whitehouse.gov/presidential-actions/executive-order-protecting-nation-foreign-terrorist-entry-united-states-2/
116,https://www.whitehouse.gov/the-press-office/2015/02/19/remarks-president-summit-countering-violent-extremism-february-19-2015
117,https://www.whitehouse.gov/the-press-office/2015/02/18/fact-sheet-white-house-summit-countering-violent-extremism
118,https://www.whitehouse.gov/the-press-office/2014/04/16/remarks-assistant-president-homeland-security-and-counterterrorism-lisa-
119,http://www.mprnews.org/story/2017/02/02/mn-somali-nonprofit-declines-federal-grant
120,http://www.lowyinstitute.org/files/australian-foreign-fighters-risks-and-responses.pdf
